match_id,season,round,match_date,day_of_week,team1,team2,team1_score,team2_score,winner,margin,attendance,venue,is_finals
2000_Round_1_Richmond_vs_Melbourne,2000,Round 1,2000-03-08 19:40:00,Wednesday,Richmond,Melbourne,94,92,Richmond,2,41648,M.C.G.,False
2000_Round_1_Essendon_vs_Port_Adelaide,2000,Round 1,2000-03-09 20:15:00,Thursday,Essendon,Port Adelaide,156,62,Essendon,94,43012,Docklands,False
2000_Round_1_Adelaide_vs_Western_Bulldogs,2000,Round 1,2000-03-11 14:50:00,Saturday,Adelaide,Western Bulldogs,108,131,Western Bulldogs,23,37222,Football Park,False
2000_Round_1_Fremantle_vs_Geelong,2000,Round 1,2000-03-11 17:40:00,Saturday,Fremantle,Geelong,107,129,Geelong,22,19777,Subiaco,False
2000_Round_1_St_Kilda_vs_Sydney,2000,Round 1,2000-03-12 19:40:00,Sunday,St Kilda,Sydney,100,134,Sydney,34,31440,Docklands,False
2000_Round_1_Carlton_vs_Brisbane_Lions,2000,Round 1,2000-03-13 14:10:00,Monday,Carlton,Brisbane Lions,152,112,Carlton,40,22374,Princes Park,False
2000_Round_1_Hawthorn_vs_Collingwood,2000,Round 1,2000-03-13 14:10:00,Monday,Hawthorn,Collingwood,86,140,Collingwood,54,53776,M.C.G.,False
2000_Round_2_Essendon_vs_Richmond,2000,Round 2,2000-03-16 19:40:00,Thursday,Essendon,Richmond,130,87,Essendon,43,49521,M.C.G.,False
2000_Round_2_Geelong_vs_St_Kilda,2000,Round 2,2000-03-18 14:10:00,Saturday,Geelong,St Kilda,139,99,Geelong,40,20476,Kardinia Park,False
2000_Round_2_Port_Adelaide_vs_Fremantle,2000,Round 2,2000-03-18 19:10:00,Saturday,Port Adelaide,Fremantle,87,125,Fremantle,38,24695,Football Park,False
2000_Round_2_Carlton_vs_Hawthorn,2000,Round 2,2000-03-19 12:10:00,Sunday,Carlton,Hawthorn,154,112,Carlton,42,21161,Princes Park,False
2000_Round_2_Collingwood_vs_Adelaide,2000,Round 2,2000-03-19 14:10:00,Sunday,Collingwood,Adelaide,103,92,Collingwood,11,33076,M.C.G.,False
2000_Round_2_West_Coast_vs_Sydney,2000,Round 2,2000-03-19 17:40:00,Sunday,West Coast,Sydney,70,82,Sydney,12,38127,Subiaco,False
2000_Round_2_Western_Bulldogs_vs_Brisbane_Lions,2000,Round 2,2000-03-19 19:40:00,Sunday,Western Bulldogs,Brisbane Lions,110,139,Brisbane Lions,29,24460,Docklands,False
2000_Round_3_Hawthorn_vs_Brisbane_Lions,2000,Round 3,2000-03-25 14:10:00,Saturday,Hawthorn,Brisbane Lions,110,103,Hawthorn,7,20374,M.C.G.,False
2000_Round_3_Adelaide_vs_Geelong,2000,Round 3,2000-03-25 19:10:00,Saturday,Adelaide,Geelong,100,111,Geelong,11,39179,Football Park,False
2000_Round_3_St_Kilda_vs_West_Coast,2000,Round 3,2000-03-25 19:40:00,Saturday,St Kilda,West Coast,116,116,Draw,0,21215,Docklands,False
2000_Round_3_Collingwood_vs_Carlton,2000,Round 3,2000-03-26 14:10:00,Sunday,Collingwood,Carlton,160,87,Collingwood,73,82669,M.C.G.,False
2000_Round_3_Sydney_vs_Melbourne,2000,Round 3,2000-03-26 14:10:00,Sunday,Sydney,Melbourne,126,114,Sydney,12,26920,S.C.G.,False
2000_Round_3_Western_Bulldogs_vs_Port_Adelaide,2000,Round 3,2000-03-26 14:10:00,Sunday,Western Bulldogs,Port Adelaide,141,94,Western Bulldogs,47,18134,Docklands,False
2000_Round_3_Fremantle_vs_Essendon,2000,Round 3,2000-03-26 18:40:00,Sunday,Fremantle,Essendon,88,124,Essendon,36,27230,Subiaco,False
2000_Round_4_Hawthorn_vs_Essendon,2000,Round 4,2000-04-01 14:10:00,Saturday,Hawthorn,Essendon,90,137,Essendon,47,46889,M.C.G.,False
2000_Round_4_Western_Bulldogs_vs_Carlton,2000,Round 4,2000-04-01 14:10:00,Saturday,Western Bulldogs,Carlton,98,59,Western Bulldogs,39,30576,Docklands,False
2000_Round_4_Sydney_vs_Collingwood,2000,Round 4,2000-04-01 19:40:00,Saturday,Sydney,Collingwood,101,106,Collingwood,5,34687,S.C.G.,False
2000_Round_4_West_Coast_vs_Adelaide,2000,Round 4,2000-04-01 20:10:00,Saturday,West Coast,Adelaide,187,73,West Coast,114,26008,W.A.C.A.,False
2000_Round_4_Port_Adelaide_vs_Brisbane_Lions,2000,Round 4,2000-04-02 13:40:00,Sunday,Port Adelaide,Brisbane Lions,149,106,Port Adelaide,43,24458,Football Park,False
2000_Round_4_Melbourne_vs_St_Kilda,2000,Round 4,2000-04-02 14:10:00,Sunday,Melbourne,St Kilda,165,75,Melbourne,90,31642,M.C.G.,False
2000_Round_4_Richmond_vs_Fremantle,2000,Round 4,2000-04-02 14:10:00,Sunday,Richmond,Fremantle,87,88,Fremantle,1,23578,Docklands,False
2000_Round_5_Western_Bulldogs_vs_Collingwood,2000,Round 5,2000-04-07 19:40:00,Friday,Western Bulldogs,Collingwood,110,118,Collingwood,8,45141,Docklands,False
2000_Round_5_Essendon_vs_Carlton,2000,Round 5,2000-04-08 14:10:00,Saturday,Essendon,Carlton,123,99,Essendon,24,64658,M.C.G.,False
2000_Round_5_Brisbane_Lions_vs_Adelaide,2000,Round 5,2000-04-08 19:40:00,Saturday,Brisbane Lions,Adelaide,122,92,Brisbane Lions,30,26395,Gabba,False
2000_Round_5_Fremantle_vs_Melbourne,2000,Round 5,2000-04-08 20:10:00,Saturday,Fremantle,Melbourne,75,106,Melbourne,31,20484,W.A.C.A.,False
2000_Round_5_Geelong_vs_West_Coast,2000,Round 5,2000-04-09 14:10:00,Sunday,Geelong,West Coast,162,81,Geelong,81,22623,Kardinia Park,False
2000_Round_5_St_Kilda_vs_Richmond,2000,Round 5,2000-04-09 14:10:00,Sunday,St Kilda,Richmond,84,110,Richmond,26,26374,Docklands,False
2000_Round_5_Port_Adelaide_vs_Hawthorn,2000,Round 5,2000-04-09 20:10:00,Sunday,Port Adelaide,Hawthorn,74,113,Hawthorn,39,22086,Football Park,False
2000_Round_6_Western_Bulldogs_vs_Essendon,2000,Round 6,2000-04-14 19:40:00,Friday,Western Bulldogs,Essendon,81,144,Essendon,63,42029,Docklands,False
2000_Round_6_Carlton_vs_Port_Adelaide,2000,Round 6,2000-04-15 14:10:00,Saturday,Carlton,Port Adelaide,169,78,Carlton,91,16415,Princes Park,False
2000_Round_6_West_Coast_vs_Fremantle,2000,Round 6,2000-04-15 18:40:00,Saturday,West Coast,Fremantle,178,61,West Coast,117,40519,Subiaco,False
2000_Round_6_St_Kilda_vs_Brisbane_Lions,2000,Round 6,2000-04-15 19:40:00,Saturday,St Kilda,Brisbane Lions,66,105,Brisbane Lions,39,18194,Docklands,False
2000_Round_6_Sydney_vs_Richmond,2000,Round 6,2000-04-16 12:40:00,Sunday,Sydney,Richmond,106,112,Richmond,6,25049,S.C.G.,False
2000_Round_6_Geelong_vs_Melbourne,2000,Round 6,2000-04-16 14:10:00,Sunday,Geelong,Melbourne,109,84,Geelong,25,26761,Kardinia Park,False
2000_Round_6_Adelaide_vs_Hawthorn,2000,Round 6,2000-04-16 14:50:00,Sunday,Adelaide,Hawthorn,143,57,Adelaide,86,38158,Football Park,False
