max_pre_streak,count,mean,median
0,1311,31356.147215865753,30515.0
1,1296,32758.578703703704,31739.5
2,756,35628.862433862436,34273.5
3,482,37277.15352697096,35061.0
4,286,37585.95104895105,35741.0
5,168,37545.04761904762,36786.0
6,109,39620.00917431193,37369.0
7,70,43450.05714285714,40778.5
8,50,40716.04,37431.0
9,35,40765.885714285716,38019.0
10,20,41611.0,35896.5
11,16,39627.375,37849.0
12,14,36262.07142857143,30126.0
13,10,47215.1,41750.0
14,8,56731.75,53199.5
15,4,76360.25,86738.5
16,2,39824.5,39824.5
17,2,37375.5,37375.5
18,2,55791.0,55791.0
19,2,43567.5,43567.5
