season,mean_attendance
2000,34191.3
2001,35478.27607361963
2002,33794.91358024691
2003,34943.56441717791
2004,35249.79754601227
2005,37278.364197530864
2006,37432.80981595092
2007,38810.522012578615
2008,38286.56756756757
2009,37760.454054054055
2010,38423.32258064516
2011,36427.82653061225
2012,32747.942028985508
2013,33460.77294685991
2014,33680.44927536232
2015,33367.412621359224
2016,33162.78743961352
2017,35177.69902912621
2018,36687.44927536232
2019,36317.13526570048
2020,7767.195488721804
2021,24011.88823529412
2022,32620.34299516908
2023,37682.7037037037
2024,38364.680555555555
