column,dtype,missing_n,missing_pct
attendance,int64,0,0.0
day_of_week,str,0,0.0
equal_pre_streak,int64,0,0.0
is_finals,bool,0,0.0
log_attendance,float64,0,0.0
margin,int64,0,0.0
match_date,datetime64[us],0,0.0
match_id,str,0,0.0
max_pre_streak,int64,0,0.0
min_pre_streak,int64,0,0.0
round,str,0,0.0
season,int64,0,0.0
streak_diff,int64,0,0.0
team1,str,0,0.0
team1_higher_streak,int64,0,0.0
team1_pre_streak,int64,0,0.0
team1_score,int64,0,0.0
team2,str,0,0.0
team2_higher_streak,int64,0,0.0
team2_pre_streak,int64,0,0.0
team2_score,int64,0,0.0
venue,str,0,0.0
winner,str,0,0.0
